,Topic,Representative Post
261,5,kelly deal without seeing money first
262,5,yes please get deal better bad deal unelected globalist show zero respect want billion
263,5,bet made deal devil
264,5,did not principal lose job reposting meme potato joe
265,5,already asking quid pro quo joe
266,5,walsh joe biden coronavirus adviser argued nobody live past
267,5,are not shit without around her
268,5,dude need are not
269,5,well are not peace shit
270,5,and like col jessel cannot handle truth
271,5,could rational independent thinker tell governor shove mask thing you are selling purely complianceand weak comply
272,5,nothing better brainwashed already cannot convince fact kind not want believe
273,5,awww miracle life child cute
274,5,praying her she adorable
275,5,want feel good minute watch poor mexican lady get blessed little happy moment life
276,5,certainly know not press secretary see statement inauguration day sooooo special
277,5,total agreement president not attend not watch inauguration
278,5,stay away inauguration not watch not pay tax become sovereign citizen
279,5,bomb clock tick tick tick boom
280,5,clock ticking sob kemp
281,5,tick tick tick boom eat heart out rachel maddow
282,5,like one statue liberty one
283,5,imagine uproar trump statue
284,5,really think removing statue removing happened
285,5,obx mommy stove scary right
286,5,dstcharmin stay mom basement play video game real american vote
287,5,glad able type nonsense mommy basement
288,5,not comply tactical nuke them
289,5,fck cuomo not comply
290,5,not allow scamdemic force masked not comply communist
291,5,time someone stood moron
292,5,time people started standing
293,5,time stand tall start moving line
294,6,trump president new confederation state texas oklahoma louisiana florida montana wyomingand others let
295,6,texas lead country greatness
296,6,stay california move ruin texas vote
297,6,also news sky blue
298,6,sheep showed true color yesterday coward
299,6,see blue state lockdown
300,6,give come get bidenharris
301,6,columbus come anquifa get some
302,6,coming pelosi take pill
303,6,whoever trump dynasty run major red tsunami
304,6,perhaps delaware red wave march
305,6,uncle andy say third wave soon close everthing down
306,6,mack butler gadsden alabama
307,6,forgot gov pugsley illinois
308,6,republican governor too indiana ohio damn rinos
309,6,glad see took advice took red pill
310,6,take lot getting red pilled
311,6,have taken red pill nope
312,6,notre dame wide receiver ben skowronek became sixth fighting irish player accept invitation reeses senior bowl going lot gold helmet year game goirish
313,6,almost taking losing sec program winning national championship give guy vision confidence
314,6,fuller get heisman trophy deserves also think must drafted nfl not outright discrimination
315,7,military serious offence not arsed female soldier punished same
316,7,trying zuckerberg treason found guilty publicly hung
317,7,evil man jail get away least state sued deadly decision
318,7,arrest rest throw away key
319,7,that keywe let get away
320,7,yea shud stuff lose key
321,7,yet chicago murder selective
322,7,not forget planned murderhood open whole time murdering innocent people
323,7,without doubt way more also death attributed lockdown
324,7,hang her treasonous witch
325,7,disgusting baby tried treason
326,7,yes madam treason must punished
327,7,really cannot make shit hope rot jail
328,7,mess government shoot you good slave
329,7,president trump enough treasonist crap let hang every last one scum bag
330,7,voter fraud treason must dealt accordingly
331,7,pure corruption election tampering voter fraud one involved prosecuted held accountable treason
332,7,breaking pennsylvania error pennsylvania not fraud treason will damned
333,7,locked loaded take meantime praying god almighty handled
334,7,locked loaded willing stand america
335,7,locked loaded anxiously waiting
336,7,that right time lock load
337,7,guess time lock load
338,7,need start red revolution lock load
339,8,well know right place bill gate doe not like
340,8,wow hmmmmm well doe not sound right cheater
341,8,doe not look like schumer
342,9,wth not take vaccine resist
343,9,not let anyone give child vaccine
344,9,socialism finest not going force take vaccine butif choose not consequence come man
345,9,gloat creating world wide spread china virus thanks
346,9,china virus contagious nye nyc
347,9,virus really abouttracking increased chinese clout
348,9,symptomatic people transmit virus never good reason isolate restrict healthy people stop following non scientific order way stop madness
349,9,not vaccine not worried myself anything happens anyone close mark word ill create hell lunatic
350,9,fightback this lockdown not make virus away anything immune system weaker post lockdown not protecting you control
351,9,living communist rule election likely best riddled event low probability happening favor one candidate told not able earn living virus religion attack curious communism already blind realize surrendered people
352,9,warning cdc died vaccine
353,9,fgriffin likelihood getting strain flu getting strain year rare especially since hospital policy everyone get flu shot yearly would extremely rare get flu shot flu get different strain one year
354,9,god speed bill good speed
355,9,covering prayer god speed
356,9,god bless god speed
357,9,coming new infection day total upwards new death dayand gave covid well american gave you concede
358,9,contaminated blood supply causing mylitis watered name polio remember covidchildren america place becoming paralyzed apparent reason
359,9,friend diagnosed covid said worse part headache
360,9,pray take therapudics zinc right back god bless you
361,9,everyone took safe hydroxychloroquine zinc would over two pill one month zinc done
362,9,yes especially zinc see medical medium
363,9,look like operation warp speed may incredible success
364,9,thank president trump warp speed fought called name give credit team sir biden never left basement
365,9,correction mariabartiromotv pfizer part operation warp speed seen ows hhs website
366,9,antifa medic dumb ass put tourniquet flesh wound antifa tag say medic punch fucking throat permission
367,9,karen mic minute shot that delayed pain reaction besides since needle hurt anyone
368,9,joannsharples doctor think crazy smart crazy stuff like sew prescribe obtain med etc cut bullet said did not need come out instant came felt like pound lifted arm like floating away last two visit prescribed med said needed not without diagnosing first usually right
